id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Moonlit Sonata,Clara Voss,classical,peaceful,0.22,58,0.72,0.25,0.97
12,Corner Store Flex,Jay Riddim,hip-hop,confident,0.78,96,0.70,0.85,0.12
13,Velvet Overtime,Sable Monroe,r&b,romantic,0.55,88,0.76,0.72,0.38
14,Iron Collapse,Dreadforge,metal,angry,0.97,168,0.22,0.52,0.04
15,Dusty Back Roads,The Hathaways,country,nostalgic,0.48,98,0.65,0.61,0.74
16,Island Morning,Sun Irie,reggae,uplifting,0.63,82,0.88,0.79,0.55
17,Rainy Tuesday Blues,Hal Covey,blues,melancholic,0.44,76,0.31,0.48,0.82
18,Groove Cabinet,The Slick Six,funk,groovy,0.85,112,0.91,0.93,0.20
